LayerNum,MachineStateNum,StateNum,cycleOffset,cycleOffsetParameter,hideFlags,iKOnFeet,mirror,mirrorParameter,mirrorParameterActive,motion_name,name,nameHash,speed,speedParameter,speedParameterActive,tag,writeDefaultValues,
0,0,0,0,,HideInHierarchy,False,False,,False,,Alpaca,2135656967,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Bear,-1666708329,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Cat,-1508702904,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Elephant,-231487840,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Giraffe,1905657782,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Iguana,1723381508,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Kangaroo,-830495731,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Nutria,-2013220907,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Quetzal,-1758792470,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Rabbit,1845302191,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Yak,984231451,1,,False,,True,
0,0,0,0,,"HideInHierarchy, HideInInspector",False,False,,False,,Zebra,-728337742,1,,False,,True,
