Name,Type,KeyField,Input,SubType,[EOL],
#layerNum#,int,TemporaryNumbering,False,None,
#machineStateNum#,int,TemporaryNumbering,False,None,
#stateNum#,int,TemporaryNumbering,False,None,
#transitionNum#,int,TemporaryNumbering,False,None,
#layerName#,string,Identifiable,False,None,
#statemachinePath#,string,Identifiable,False,None,
#stateName#,string,Identifiable,False,None,
name,string,Identifiable,False,None,
#stellaQLComment#,string,None,False,None,
canTransitionToSelf,bool,None,True,None,
#destinationState_name#,string,None,False,None,
#destinationState_nameHash#,int,None,False,None,
#destinationStateMachine_name#,string,None,False,None,
duration,float,None,True,None,
exitTime,float,None,True,None,
hasExitTime,bool,None,True,None,
hasFixedDuration,bool,None,True,None,
hideFlags,other,None,False,None,
interruptionSource,other,None,False,None,
isExit,bool,None,True,None,
mute,bool,None,True,None,
offset,float,None,True,None,
orderedInterruption,bool,None,True,None,
solo,bool,None,True,None,
[EOF],
