Name,Type,KeyField,Input,SubType,[EOL],
#layerNum#,int,TemporaryNumbering,False,None,
#machineStateNum#,int,TemporaryNumbering,False,None,
#stateNum#,int,TemporaryNumbering,False,None,
#layerName#,string,Identifiable,False,None,
#statemachinePath#,string,Identifiable,False,None,
name,string,Identifiable,False,None,
cycleOffset,float,None,True,None,
cycleOffsetParameter,string,None,True,None,
#hideFlags_string#,other,None,False,None,
iKOnFeet,bool,None,True,None,
mirror,bool,None,True,None,
mirrorParameter,string,None,True,None,
mirrorParameterActive,bool,None,True,None,
#motion_assetPath#,string,None,False,None,
nameHash,int,None,False,None,
speed,float,None,True,None,
speedParameter,string,None,True,None,
speedParameterActive,bool,None,True,None,
tag,string,None,True,None,
writeDefaultValues,bool,None,True,None,
[EOF],
