Name,Type,KeyField,Input,[EOL],
#layerNum#,int,TemporaryNumbering,False,
#machineStateNum#,int,TemporaryNumbering,False,
#stateNum#,int,TemporaryNumbering,False,
#transitionNum#,int,TemporaryNumbering,False,
#conditionNum#,int,TemporaryNumbering,False,
#proertyName#,string,TemporaryNumbering,False,
magnitude,float,None,False,
#normalized#,other,None,False,
#normalizedX#,float,None,False,
#normalizedY#,float,None,False,
#normalizedZ#,float,None,False,
sqrMagnitude,float,None,False,
x,float,None,True,
y,float,None,True,
z,float,None,True,
[EOF],
