Name,Type,KeyField,Input,SubType,[EOL],
#layerNum#,int,TemporaryNumbering,False,None,
#machineStateNum#,int,TemporaryNumbering,False,None,
#stateNum#,int,TemporaryNumbering,False,None,
#transitionNum#,int,TemporaryNumbering,False,None,
#conditionNum#,int,TemporaryNumbering,False,None,
#proertyName#,string,TemporaryNumbering,False,None,
#layerName#,string,Identifiable,False,None,
#statemachinePath#,string,Identifiable,False,None,
#stateName#,string,Identifiable,False,None,
magnitude,float,None,False,None,
#normalized#,other,None,False,None,
#normalizedX#,float,None,False,None,
#normalizedY#,float,None,False,None,
#normalizedZ#,float,None,False,None,
sqrMagnitude,float,None,False,None,
x,float,UnityEditorDoesNotSupportWriting,True,None,
y,float,UnityEditorDoesNotSupportWriting,True,None,
z,float,UnityEditorDoesNotSupportWriting,True,None,
[EOF],
