Name,Type,KeyField,Input,[EOL],
#layerNum,int,Identify,False,
#machineStateNum,int,Identify,False,
#stateNum,int,Identify,False,
#transitionNum,int,Identify,False,
canTransitionToSelf,bool,None,True,
#destinationState_name,string,None,False,
#destinationState_nameHash,int,None,False,
#destinationStateMachine_name,string,None,False,
duration,float,None,True,
exitTime,float,None,True,
hasExitTime,bool,None,True,
hasFixedDuration,bool,None,True,
hideFlags,other,None,False,
interruptionSource,other,None,False,
isExit,bool,None,True,
mute,bool,None,True,
name,string,Presentable,False,
offset,float,None,True,
orderedInterruption,bool,None,True,
solo,bool,None,True,
[EOF],
